id,title,authors,countries,first_year_published,Title
2497,The Hunchback of Notre-Dame,Victor Hugo,French,1831.0,hunchback of notre-dame
514,Beowulf,,Unknown,900.0,beowulf
229,Henderson The Rain King,Saul Bellow,American,1959.0,henderson rain king
2015,Life After Life,Kate Atkinson,British,2013.0,life after life
1940,The Joy Luck Club,Amy Tan,American,1989.0,joy luck club
189,Main Street,Sinclair Lewis,American,1920.0,main street
1154,Our Mutual Friend,Charles Dickens,British,1865.0,our mutual friend
2089,The Sense of an Ending,Julian Barnes,British,2011.0,sense of ending
473,The Book of Disquiet,Fernando Pessoa,Portuguese,1982.0,book of disquiet
295,The Good Earth,Pearl S. Buck,American,1931.0,good earth
2714,Lysistrata,Aristophanes,Greek,-411.0,lysistrata
2458,Cold Comfort Farm,Stella Gibbons,British,1932.0,cold comfort farm
479,Season of Migration to the North,Al-Tayyib Salih,Sudanese,1966.0,season of migration to north
458,Zorba the Greek,Nikos Kazantzakis,Greek,1946.0,zorba greek
2725,Journey to the West,Wu Cheng'en,Chinese,1592.0,journey to west
227,Darkness at Noon,Arthur Koestler,British,1940.0,darkness at noon
461,Pippi Longstocking,Astrid Lindgren,Swedish,1945.0,pippi longstocking
908,If This Is a Man,Primo Levi,Italian,1947.0,if this is man
231,"Winesburg, Ohio",Sherwood Anderson,American,1919.0,"winesburg, ohio"
392,Bel Canto,Ann Patchett,American,2001.0,bel canto
2713,The Art of War,Sun Zi,Chinese,-200.0,art of war
935,The Princess of Cleves,Madame de La Fayette,French,1678.0,princess of cleves
2151,Stranger in a Strange Land,Robert A. Heinlein,American,1961.0,stranger in strange land
161,Sophie's Choice,William Styron,American,1979.0,sophie's choice
2000,A Brief History of Time,Stephen Hawking,British,1988.0,brief history of time
545,A Suitable Boy,Vikram Seth,Indian,1994.0,suitable boy
97,Watchmen,Alan Moore,British,1986.0,watchmen
948,The Last of the Mohicans,James Fenimore Cooper,American,1826.0,last of mohicans
530,The Gulag Archipelago,Aleksandr Solzhenitsyn,Russian,1973.0,gulag archipelago
2712,The Bacchae,Euripides,Greek,-405.0,bacchae
3534,The Sellout,Paul Beatty,American,2015.0,sellout
178,The Naked and the Dead,Norman Mailer,American,1948.0,naked and dead
2382,The Confusions of Young Törless,Robert Musil,Austrian,1906.0,confusions of young törless
2803,The Turn of the Screw,Henry James,American,1898.0,turn of screw
2461,"Cry, the Beloved Country",Alan Paton,South African,1948.0,"cry, beloved country"
239,Parade's End,Ford Madox Ford,British,1924.0,parade's end
2752,Three Sisters,Anton Chekhov,Russian,1901.0,three sisters
1202,Cousin Bette,Honoré de Balzac,French,1846.0,cousin bette
900,The History of the Peloponnesian War,Thucydides,Greek,-450.0,history of peloponnesian war
2469,The Alchemist,Paulo Coelho,Brazilian,1988.0,alchemist
