380,"I, Rigoberta Menchú: An Indian Woman in Guatemala",Rigoberta Menchú Tum,1983
381,Charter of the United Nations,United Nations,1945
382,The Subjection of Women,John Stuart Mill,1869
383,The New Negro: The Life of Alain Locke,Jeffrey C. Stewart,2018
384,King Solomon's Ring,Konrad Lorenz,1949
385,Epitome of Copernican Astronomy,Johannes Kepler,1617
386,On Death and Dying,Elisabeth Kübler-Ross,1969
387,On Narcissism,Sigmund Freud,1914
388,Superhighway--superhoax,Helen Leavitt,1970
389,Woman Suffrage and Politics: The Inner Story of the Suffrage Movement,Carrie Chapman Catt,1923
390,The Protestant Ethic and the Spirit of Capitalism,Max Weber,1904
391,Physics and Philosophy,Werner Heisenberg,1934
392,Treatise on Radioactivity,Marie Curie,1910
393,Sisterhood Is Powerful,robin morgan ,1970
394,What Is Life?,Erwin Schrödinger,1929
395,What Is Metaphysics?,Martin Heidegger,1930
396,Edith Wharton: A Biography,R. W. B. Lewis,1975
397,"Etiquette in Society, in Business, in Politics and at Home",Emily Post,1922
398,Thoughts for the Times on War and Death,Sigmund Freud,1952
399,The Nature of Life,C. H. Waddington,1961
400,The Acquisitive Society,R. H. Tawney,1921
401,Mencius,Mencius,-400
402,A Theory Of The Consumption Function,Milton Friedman,1936
403,A General Introduction to Psycho-Analysis,Sigmund Freud,1952
404,Instincts and Their Vicissitudes,Sigmund Freud,1915
405,The Problems of Philosophy,Bertrand Russell,1912
406,Discussion with Einstein on Epistemology,Niels Bohr,1965
407,Structural Anthropology,Claude Lévi-Strauss,1963
408,Scientific Autobiography and Other Papers,Max Planck,1949
409,Evicted: Poverty and Profit in the American City,Matthew Desmond,2016
410,A Field Guide to the Birds,Roger Tory Peterson,1934
411,Group Psychology and the Analysis of the Ego,Sigmund Freud,1922
412,The House on Henry Street,Lillian D. Wald,1915
413,"Observations on ""Wild"" Psycho-Analysis",Sigmund Freud,1952
414,Studies in the Psychology of Sex,Havelock Ellis,1900
415,An Introduction to Mathematics,Alfred North Whitehead,1910
416,Der Judenstaat,Theodor Herzl,1896
417,The Life of the Bee,Maurice Maeterlinck,1901
418,The Politics of Ecstasy,Timothy Leary,1968
419,An Introduction to Metaphysics,Henri Bergson,1903
420,The Origin and Development of Psycho-Analysis,Sigmund Freud,1952
421,The Meaning of Truth,Will James,1909
422,Russia Leaves the War,George F. Kennan,1956
423,The Word of God and the Word of Man,Karl Barth,1952
424,The Story of My Life,Helen Keller,1903
425,The Future Prospects of Psycho-Analytic Therapy,Sigmund Freud,1910
426,Against Our Will,Susan Brownmiller,1975
427,An Autobiography of Anthony Trollope,Anthony Trollope,1883
428,The Haunted Land,Tina Rosenberg,1995
429,The Artist's Way,Julia Cameron,1992
430,Science and Hypothesis,Henri Poincaré,1905
431,The Ego and the Id,Sigmund Freud,1923
432,"Inhibitions, Symptoms, and Anxiety",Sigmund Freud,1893
433,Essays in Sociology,Max Weber,1958
434,The Expanding Universe,Arthur Eddington,1948
435,The First Tycoon: The Epic Life of Cornelius Vanderbilt,T. J. Stiles,2009
436,A Stillness at Appomattox,Bruce Catton,1953
437,The Courage to Be,Paul Tillich,1952
438,The Swerve: How the World Became Modern,Stephen Greenblatt,2011
439,The Path to Power,Robert Caro,1982
440,The Wretched of the Earth,Frantz Fanon,1961
441,Selected Papers on Hysteria,Sigmund Freud,1912
442,Democratic Vistas,Walt Whitman,1871
443,Growing Up Absurd,Paul Goodman,1960
444,Ball Four,Jim Bouton,1970
445,The Pillow Book,Sei Shōnagon,1002
446,Twenty Years at Hull-House,Jane Addams,1910
447,The Uses of Enchantment,Bruno Bettelheim,1976
448,The Diversity of Life,Edward O. Wilson,1992
449,The Autobiography of Lincoln Steffens,Lincoln Steffens,1931
450,The Voices of Marrakesh: A Record of a Visit,Elias Canetti,1978
451,Suicide,Emile Durkheim,1897
452,There Are No Children Here,Alex Kotlowitz,1991
453,Why I Am Not a Christian,Bertrand Russell,1927
454,The Whole Internet: User's Guide & Catalog,Ed Krol,1992
455,Experience in Education,John Dewey,1938
456,The Family of Man, Edward Steichen,1955
457,Atomic Theory and the Description of Nature,Niels Bohr,1952
458,Master of the Senate,Robert Caro,2002
459,Kafka's Other Trial,Elias Canetti,1974
460,Repression,Sigmund Freud,1950
461,Basic Documents in American History,Richard Brandon Morris,1956
462,Armenian Atrocities: The Murder of a Nation,Arnold Toynbee,1915
463,A Fire on the Moon,Norman Mailer,1970
464,The Battle with the Slum,Jacob A. Riis,1902
465,Records of the Grand Historian,Sima Qian,-91
466,New Introductory Lectures on Psycho-Analysis,Sigmund Freud,1933
467,Science and the Modern World,Alfred North Whitehead,1925
468,Beyond the Pleasure Principle,Sigmund Freud,1920
469,The Hemingses of Monticello,Annette Gordon-Reed,2008
470,Almagest,Ptolemy,150
471,My Fight for Birth Control,Margaret Sanger,1931
472,The Great War and Modern Memory,Paul Fussell,1975
473,West With the Night,Beryl Markham,1942
474,Why We Can't Wait,Martin Luther King,1964
475,Three Cups of Tea,"Greg Mortenson, David Oliver Relin",2006
476,Narrative of the Life of Frederick Douglass,Frederick Douglass,1845
477,The Journalist and the Murderer,Janet Malcolm,1990
478,Shadow and ACT,Ralph Ellison,1964
479,Nickel And Dimed,Barbara Ehrenreich,2001
480,The Unsettling of America,Wendell Berry,1960
481,The Tao of Physics,Fritjof Capra,1975
482,Kaffir Boy,Mark Mathabane,1986
483,"Protestant, Catholic, Jew",Will Herberg,1955
484,Natural Right and History,Leo Strauss,1953
485,After Virtue,Alasdair MacIntyre,1981
486,Persons and Places,George Santayana,1944
487,The Stripping of the Altars,Eamon Duffy,1992
488,The New Science of Politics,Eric Voegelin,1952
489,Lost in the Cosmos,Walker Percy,1983
490,Prejudices,H. L. Mencken,1919
491,The Whig Interpretation of History,Herbert Butterfield,1931
492,My Childhood,Maxim Gorky,1913
493,Teacher in America,Jacques Barzun,1945
494,A History of Philosophy,Frederick Charles Copleston,1946
495,Religion and the Rise of Western Culture,Christopher Dawson,1950
496,The Triumph of the Therapeutic,Philip Rieff,1966
497,Understanding Poetry,"Robert Penn Warren, Cleanth Brooks",1938
498,The Great Chain of Being,Arthur Lovejoy,1936
499,Between the World and Me,Ta-Nehisi Coates,2015
500,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,2000
501,Microbe Hunters,Paul de Kruif,1926
502,Napoleon,Vincent Cronin,1971
503,Galapagos: World's End,William Beebe,1924
504,The Reason Why,Cecil Woodham-Smith,1953
505,The Name Above the Title: An Autobiography,Frank Capra,1971
506,One Two Three . . . Infinity: Facts and Speculations of Science,George Gamow,1947
507,The Two-Ocean War: A Short History of the United States Navy in the Second World War,Samuel Eliot Morison,1963
508,Escape from Freedom,Erich Fromm,1941
509,Roosevelt: The Lion and the Fox (1882–1940),James MacGregor Burns,1956
510,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,2010
511,Fun Home: A Family Tragicomic,Alison Bechdel,2006
512,The Proper Study of Mankind,Isaiah Berlin,1997
513,Red Scarf Girl,Ji-li Jiang,1998
514,Experience,Martin Amis,2000
515,I Have Lived a Thousand Years,Livia Bitton-Jackson,1997
516,The Principia Mathematica,"Alfred North Whitehead, Bertrand Russell",1913
517,The Kon-Tiki Expedition: By Raft Across the South Seas,Thor Heyerdahl,1948
518,Venice,Jan Morris,
519,Zami: A New Spelling of My Name,Audre Lorde,1982
520,The Nicomachean Ethics,Aristotle,-400
521,Born to Run,Chris McDougall,2009
522,Kitchen Confidential,Anthony Bourdain,
523,The Son of a Servant,August Strindberg,1886
524,"Human, All Too Human",Friedrich Nietzsche,1878
525,The Twilight of the Idols and The Antichrist,Friedrich Nietzsche,1889
526,I Will Bear Witness,Victor Klemperer,1998
527,The 18th Brumaire of Louis Bonaparte,Karl Marx,1852
528,Letters from an American Farmer,J. Crevecoeur,1782
529,My Life,Leon Trotsky,1929
530,Germania,Cornelius Tacitus,98
531,Homo Ludens: A Study of the Play-Element in Culture,Johan Huizinga,1938
532,A History of the World in 100 Objects,Neil MacGregor,
533,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,
534,The Mirror and the Lamp,Meyer Howard Abrams,1953
535,The Art of the Soluble: Creativity and Originality in Science,Peter B. Medawar,1967
536,All But My Life,Gerda Weissmann Klein,1957
537,A Theory of Justice,John Rawls,1971
538,My Forbidden Face,Latifa,2001
539,Art and Illusion,Ernest H. Gombrich,1960
540,A Man in Love: My Struggle,Karl Ove Knausgaard,2013
541,Falling Leaves,Adeline Yen Mah,1997
542,Principia Ethica,George Moore,1903
543,In My Hands,Irene Opdyke,1999
544,Philosophy and Civilization,John Dewey,1931
545,On Growth and Form,D'Arcy Wentworth Thompson,1917
546,Funny in Farsi,Firoozeh Dumas,2003
547,Ideas and Opinions,Albert Einstein,1954
548,The Afterlife: A Memoir,Donald Antrim,2006
549,The Light of the World,Elizabeth Alexander,2015
550,The Gentrification of the Mind,Sarah Schulman,2012
551,Albert Murray: Collected Essays & Memoirs,Albert Murray,2016
