Title,Year
a ballad for georg henig,1987.0
"garden, ashes",1965.0
untouchable,1935.0
a world for julius,1970.0
under the yoke,1888.0
a gate at the stairs,2009.0
a day in spring,1954.0
"history of rasselas, prince of abissinia",1759.0
death and the dervish,1966.0
gösta berling's saga,1891.0
rickshaw boy,1936.0
dog years,1963.0
nine tailors,1934.0
"water-babies, a fairy tale for a land baby",1863.0
arrow of god,1964.0
girl with green eyes,1962.0
third wedding,1963.0
bel ami,1885.0
myra breckinridge,1968.0
absolute beginners,1959.0
journey to the center of the earth,1864.0
"nip the buds, shoot the kids",1958.0
13 clocks,1950.0
astradeni,1991.0
vicar of wakefield,1766.0
blue of noon,1957.0
roots of heaven,1956.0
manila rope,1957.0
justine,1957.0
