Title,Author,Rank,Genre
Tales of a Fourth Grade Nothing,Judy Blume,291,gen_fiction
The Merry Adventures of Robin Hood of Great Renown In Nottinghamshire,Howard Pyle,292,gen_fiction
Tortilla Flat,John Steinbeck,293,gen_fiction
"Look Homeward, Angel",Thomas Wolfe,294,gen_fiction
The Mystery of Edwin Drood,Charles Dickens,295,gen_fiction
Brideshead Revisited,Evelyn Waugh,296,gen_fiction
The Pelican Brief,John Grisham,297,mystery
Atonement,Ian McEwan,298,gen_fiction
Washington Square,Henry James,299,gen_fiction
Like Water for Chocolate,Laura Esquivel,300,romance
The Golden Compass,Philip Pullman,301,gen_fiction
The Secret Life of Bees,Sue Monk Kidd,302,gen_fiction
The Fault In Our Stars,John Green,303,romance
Nostromo,Joseph Conrad,304,political
Finnegans Wake,James Joyce,305,gen_fiction
The Brethren,John Grisham,306,thrillers
Coraline,Neil Gaiman,307,gen_fiction
Heart of Darkness,Joseph Conrad,308,gen_fiction
On the Banks of Plum Creek,Laura Ingalls Wilder,309,autobio
Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,310,gen_fiction
The Ambassadors,Henry James,311,gen_fiction
The Secret Agent,Joseph Conrad,312,political
The House on Mango Street,Sandra Cisneros,313,bildung
Go Tell It on the Mountain,James Baldwin,314,bildung
The Testament,John Grisham,315,thrillers
The Clan of the Cave Bear,Jean M. Auel,316,history
Cranford,Elizabeth Cleghorn Gaskell,317,gen_fiction
Because of Winn-Dixie,Kate DiCamillo,318,gen_fiction
My Side of the Mountain,Jean Craighead George,319,gen_fiction
The Runaway Jury,John Grisham,320,thrillers
The Mouse and the Motorcycle,Beverly Cleary,321,gen_fiction
The Lost Symbol,Dan Brown,322,thrillers
The Forsyte Saga,John Galsworthy,323,gen_fiction
Gone Girl,Gillian Flynn,324,thrillers
The Lightning Thief,Rick Riordan,325,fantasy
The Last Days of Pompeii,Edward Bulwer Lytton,326,history
The Reader,Bernhard Schlink,327,gen_fiction
Caddie Woodlawn,Carol Ryrie Brink,328,gen_fiction
The Tale of Despereaux,Kate DiCamillo,329,gen_fiction
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,330,thrillers
Dear Mr. Henshaw,Beverly Cleary,331,gen_fiction
The Killer Angels,Michael Shaara,332,history
Chronicle of a Death Foretold,Gabriel García Márquez,333,gen_fiction
The Five People You Meet In Heaven,Mitch Albom,334,gen_fiction
The Master and Margarita,Mikhail Bulgakov,335,political
"Winesburg, Ohio",Sherwood Anderson,336,gen_fiction
"""P"" Is for Peril",Sue Grafton,337,mystery
My Sister's Keeper,Jodi Picoult,338,gen_fiction
Barnaby Rudge,Charles Dickens,339,political
Howards End,E.M. Forster,340,gen_fiction
The Broker,John Grisham,341,thrillers
The Camel Club,David Baldacci,342,political
The Rainbow,D.H. Lawrence,343,gen_fiction
The Man In the Iron Mask,Alexandre Dumas,344,history
Mary Poppins,P.L. Travers,345,fantasy
Artemis Fowl,Eoin Colfer,346,fantasy
Dear John,Nicholas Sparks,347,romance
Cold Mountain,Charles Frazier,348,romance
Flowers for Algernon,Daniel Keyes,349,gen_fiction
The Dark Is Rising,Susan Cooper,350,fantasy
Resurrection,Leo Tolstoy,351,gen_fiction
Fearless Fourteen,Janet Evanovich,352,mystery
A Sentimental Journey Through France and Italy,Laurence Sterne,353,gen_fiction
The King of Torts,John Grisham,354,thrillers
The Graveyard Book,Neil Gaiman,355,gen_fiction
